id,golden,label,confidence,url
153,TRUE,Negative,0.6415,http://farm2.staticflickr.com/1432/5154818595_867789bf6c.jpg
154,TRUE,Positive,0.5554,http://farm6.staticflickr.com/5223/5585543823_8ffd8b64c2.jpg
155,TRUE,Positive,0.6,http://farm6.staticflickr.com/5086/5216016972_0af2b1b4f7.jpg
156,TRUE,Positive,0.6002,http://farm4.staticflickr.com/3589/3616979151_5dc8a7aa94.jpg
157,TRUE,Positive,0.5182,http://farm1.staticflickr.com/51/187895444_a58734d08d.jpg
158,TRUE,Positive,0.8404,http://farm6.staticflickr.com/5097/5464682806_bc62fd81d4.jpg
159,TRUE,Highly negative,0.5598,http://farm5.staticflickr.com/4067/4375869084_e26c4d0447.jpg
160,TRUE,Negative,0.5589,http://farm4.staticflickr.com/3168/2830102816_8a3ac2ccdd.jpg
161,TRUE,Highly positive,0.5201,http://farm1.staticflickr.com/103/289385280_f6ca8c453f.jpg
162,TRUE,Positive,0.7596,http://farm4.staticflickr.com/3280/2655250246_5435d467d0.jpg
163,TRUE,Positive,0.519,http://farm7.staticflickr.com/6231/6327362084_e115fdb22f.jpg
164,TRUE,Highly negative,0.6385,http://farm5.staticflickr.com/4038/4375904422_cdb479737a.jpg
165,TRUE,Negative,0.7582,http://farm4.staticflickr.com/3244/2296138797_d77a1198c9.jpg
166,TRUE,Negative,0.7621,http://farm3.staticflickr.com/2769/4322284612_3064d02196.jpg
167,TRUE,Highly positive,0.5615,http://farm4.staticflickr.com/3770/11105592996_c6928681bf.jpg
168,TRUE,Positive,0.6427,http://farm9.staticflickr.com/8228/8521748963_a74827e6c9.jpg
169,TRUE,Highly negative,0.7223,http://farm6.staticflickr.com/5174/5458838283_9df4ecf848.jpg
170,TRUE,Positive,0.8789,http://farm1.staticflickr.com/222/507980719_dce7d8f4e0.jpg
171,TRUE,Positive,0.6018,http://farm2.staticflickr.com/1256/1438157621_9b5d9af5d3.jpg
172,TRUE,Positive,0.5185,http://farm5.staticflickr.com/4123/4920157645_be94513bb2.jpg
173,TRUE,Positive,0.7986,http://farm6.staticflickr.com/5164/5347943989_6991586c81.jpg
174,TRUE,Negative,0.5176,http://farm4.staticflickr.com/3690/8914048832_8772c6f8bb.jpg
175,TRUE,Highly negative,0.6798,http://farm5.staticflickr.com/4011/4375149559_a1c5197267.jpg
176,TRUE,Negative,0.6836,http://farm8.staticflickr.com/7160/6695599993_2aef60d10e.jpg
177,TRUE,Positive,0.5237,http://farm8.staticflickr.com/7060/6913508663_46a750aeba.jpg
178,TRUE,Highly positive,0.5594,http://farm1.staticflickr.com/69/155421589_8608a07379.jpg
179,TRUE,Positive,0.6378,http://farm3.staticflickr.com/2062/2212428585_3bd35e2688.jpg
180,TRUE,Negative,0.722,http://farm3.staticflickr.com/2377/1815873607_f705c6dff5.jpg
181,TRUE,Positive,0.5199,http://farm8.staticflickr.com/7023/6439974015_2bfd785ee3.jpg
182,TRUE,Highly positive,0.5575,http://farm6.staticflickr.com/5267/5754933568_182f758ba9.jpg
183,TRUE,Negative,0.8417,http://farm2.staticflickr.com/1181/1429881314_e703b05540.jpg
184,TRUE,Highly positive,0.8041,http://farm9.staticflickr.com/8036/7975286856_5de0725bbc.jpg
185,TRUE,Positive,0.6046,http://farm9.staticflickr.com/8424/7706161552_9520ca3fd8.jpg
186,TRUE,Positive,0.5187,http://farm5.staticflickr.com/4044/4699823024_e12edbc675.jpg
187,TRUE,Highly negative,0.5995,http://farm4.staticflickr.com/3340/3598424609_028a81c55e.jpg
188,TRUE,Highly negative,0.5222,http://farm9.staticflickr.com/8391/8503860281_df3ed9f942.jpg
189,TRUE,Positive,0.6003,http://farm5.staticflickr.com/4047/4519132674_15f0a68e23.jpg
190,TRUE,Positive,0.6381,http://farm5.staticflickr.com/4081/4878548095_6f859932a9.jpg
191,TRUE,Negative,0.6751,http://farm4.staticflickr.com/3211/3079003289_7ecb95ecd2.jpg
192,TRUE,Negative,0.5593,http://farm8.staticflickr.com/7247/7133184689_0a30f3b9fb.jpg
193,TRUE,Positive,0.7582,http://farm4.staticflickr.com/3223/2970077640_0d5f783c91.jpg
194,TRUE,Positive,0.7989,http://farm8.staticflickr.com/7083/7282475198_fb41d22b4c.jpg
195,TRUE,Negative,0.7612,http://farm5.staticflickr.com/4075/4872612207_1b7cbf2e1d.jpg
196,TRUE,Negative,0.7571,http://farm3.staticflickr.com/2296/2308958465_961281bd72.jpg
197,TRUE,Positive,0.6374,http://farm7.staticflickr.com/6035/5914092598_a55779deff.jpg
198,TRUE,Positive,0.8028,http://farm2.staticflickr.com/1338/4726569889_d02c75302c.jpg
199,TRUE,Negative,0.6368,http://farm7.staticflickr.com/6019/6284653753_3fc06ed47b.jpg
200,TRUE,Positive,0.6374,http://farm4.staticflickr.com/3485/3749494223_9a83c9d0f3.jpg
201,TRUE,Negative,0.6841,http://farm5.staticflickr.com/4054/4707748801_52a9d07ff7.jpg
202,TRUE,Positive,0.602,http://farm7.staticflickr.com/6053/6362918053_3a09a23b6f.jpg
203,TRUE,Highly positive,0.5213,http://farm9.staticflickr.com/8331/8141294027_10b626f06b.jpg
204,TRUE,Positive,0.6366,http://farm4.staticflickr.com/3229/3121495494_840820111b.jpg
205,TRUE,Positive,0.84,http://farm1.staticflickr.com/114/260323975_4e76456e6f.jpg
206,TRUE,Positive,0.7619,http://farm6.staticflickr.com/5473/9875258856_848eed0b97.jpg
207,TRUE,Highly negative,0.5995,http://farm2.staticflickr.com/1367/5143404974_84ff9a23eb.jpg
208,TRUE,Negative,0.7183,http://farm4.staticflickr.com/3783/9718973650_e7549c9367.jpg
209,TRUE,Positive,0.6454,http://farm4.staticflickr.com/3076/3111083026_f8be9ac91b.jpg
210,TRUE,Negative,0.7606,http://farm9.staticflickr.com/8258/8616944371_d88f809fa6.jpg
211,TRUE,Negative,0.6446,http://farm1.staticflickr.com/108/283658982_43195cedde.jpg
212,TRUE,Negative,0.5179,http://farm9.staticflickr.com/8470/8112698907_5fc6e5e8cc.jpg
213,TRUE,Highly negative,0.5223,http://farm3.staticflickr.com/2433/4063532232_3a650d595d.jpg
214,TRUE,Negative,0.7192,http://farm7.staticflickr.com/6055/6266182518_3cb6716873.jpg
215,TRUE,Positive,0.7216,http://farm9.staticflickr.com/8452/7890245806_f7910fa80a.jpg
216,TRUE,Negative,0.7626,http://farm6.staticflickr.com/5135/5487308456_cd14e64982.jpg
217,TRUE,Negative,0.7585,http://farm4.staticflickr.com/3010/3018157004_669331a7d2.jpg
218,TRUE,Negative,0.5211,http://farm5.staticflickr.com/4009/4462774610_b65848cbcc.jpg
219,TRUE,Positive,0.7278,http://farm4.staticflickr.com/3561/3485844644_d14a18616d.jpg
220,TRUE,Positive,0.8011,http://farm1.staticflickr.com/11/12787813_2dac86fdd4.jpg
221,TRUE,Negative,0.5182,http://farm4.staticflickr.com/3152/3047193178_d9b9352d3d.jpg
222,TRUE,Positive,0.5181,http://farm6.staticflickr.com/5020/5590605766_58c77c8f7e.jpg
223,TRUE,Negative,0.719,http://farm5.staticflickr.com/4140/4813139235_efa48e5a43.jpg
224,TRUE,Highly negative,0.8028,http://farm4.staticflickr.com/3830/11430997695_e74f8d7a2d.jpg
225,TRUE,Positive,0.6397,http://farm9.staticflickr.com/8315/8055562843_8093a38b19.jpg
226,TRUE,Positive,0.8418,http://farm6.staticflickr.com/5465/7243923480_dd0058c191.jpg
227,TRUE,Highly positive,0.521,http://farm3.staticflickr.com/2239/2138737264_f99d4e6a12.jpg
228,TRUE,Positive,0.6791,http://farm7.staticflickr.com/6168/6145696603_3f16d7092c.jpg
229,TRUE,Negative,0.8393,http://farm7.staticflickr.com/6017/5928389107_ceb151538a.jpg
230,TRUE,Positive,0.6009,http://farm5.staticflickr.com/4024/4479869362_4cc43b64e4.jpg
231,TRUE,Highly negative,0.5255,http://farm3.staticflickr.com/2725/4312932815_b85eeebc13.jpg
232,TRUE,Positive,0.6421,http://farm4.staticflickr.com/3763/9692709713_fd9c3fe536.jpg
233,TRUE,Negative,0.5566,http://farm1.staticflickr.com/76/206540757_b061e95b5a.jpg
234,TRUE,Highly positive,0.5191,http://farm6.staticflickr.com/5506/11972571406_98e6a64108.jpg
235,TRUE,Positive,0.6816,http://farm9.staticflickr.com/8105/8575078563_b244b5ff5a.jpg
236,TRUE,Negative,0.5248,http://farm6.staticflickr.com/5026/5616618789_bb1030b814.jpg
237,TRUE,Positive,0.9197,http://farm3.staticflickr.com/2579/4223774603_f248fc6e58.jpg
238,TRUE,Highly negative,0.5208,http://farm7.staticflickr.com/6095/6226773561_bd56dba660.jpg
239,TRUE,Highly negative,0.6,http://farm4.staticflickr.com/3573/3354966307_20f13cb6be.jpg
240,TRUE,Negative,0.5231,http://farm2.staticflickr.com/1377/1429883044_8d8efc9e76.jpg
241,TRUE,Positive,0.6854,http://farm3.staticflickr.com/2666/4141964487_593f740f88.jpg
242,TRUE,Positive,0.7623,http://farm5.staticflickr.com/4073/4915705713_614133e6f5.jpg
243,TRUE,Highly positive,0.599,http://farm2.staticflickr.com/1438/1473101829_f69df13af0.jpg
244,TRUE,Positive,0.8014,http://farm3.staticflickr.com/2034/2056473159_b977044991.jpg
245,TRUE,Negative,0.52,http://farm8.staticflickr.com/7257/7768949124_2e60163756.jpg
246,TRUE,Positive,0.5598,http://farm3.staticflickr.com/2005/2213047853_37516490d2.jpg
247,TRUE,Highly positive,0.64,http://farm3.staticflickr.com/2719/4082520192_796f11d5b7.jpg
248,TRUE,Negative,0.5575,http://farm6.staticflickr.com/5531/9756408401_5cd22ca33f.jpg
249,TRUE,Positive,0.6001,http://farm5.staticflickr.com/4093/4890674620_f0ef38acf5.jpg
250,TRUE,Negative,0.5957,http://farm3.staticflickr.com/2088/2356741358_6f974db027.jpg
251,TRUE,Positive,0.6015,http://farm5.staticflickr.com/4115/4811471463_e385271fd2.jpg
252,TRUE,Positive,0.7196,http://farm7.staticflickr.com/6057/6320145684_a566c7403c.jpg
253,TRUE,Highly negative,0.6835,http://farm3.staticflickr.com/2744/4375146983_e7297de56a.jpg
254,TRUE,Negative,0.8384,http://farm5.staticflickr.com/4119/4780705479_e38c97f861.jpg
255,TRUE,Negative,0.8015,http://farm8.staticflickr.com/7142/6665619539_672f0e110a.jpg
256,TRUE,Positive,0.7603,http://farm3.staticflickr.com/2710/4496031653_e3391a51ed.jpg
257,TRUE,Negative,0.7572,http://farm3.staticflickr.com/2320/2510392861_e730a110f4.jpg
258,TRUE,Positive,0.6044,http://farm9.staticflickr.com/8143/7336249316_83ce2bde0e.jpg
259,TRUE,Positive,0.6794,http://farm4.staticflickr.com/3146/2561971339_a4b7e0e955.jpg
260,TRUE,Positive,0.6394,http://farm2.staticflickr.com/1423/1203305342_6bb49ffe43.jpg
261,TRUE,Positive,0.5151,http://farm1.staticflickr.com/222/473610482_6d42c4a5a7.jpg
262,TRUE,Positive,0.6778,http://farm3.staticflickr.com/2391/2327730678_2858fc05f9.jpg
263,TRUE,Positive,0.5989,http://farm9.staticflickr.com/8142/7163206031_4589d51b3f.jpg
264,TRUE,Positive,0.7989,http://farm8.staticflickr.com/7138/6957346914_8d41d67bbd.jpg
265,TRUE,Positive,0.5583,http://farm4.staticflickr.com/3195/2803881595_cdeddd93b7.jpg
266,TRUE,Negative,0.5601,http://farm3.staticflickr.com/2784/4312932721_a63a3d4af3.jpg
267,TRUE,Highly negative,0.7572,http://farm6.staticflickr.com/5227/5638802395_b013641cef.jpg
268,TRUE,Highly negative,0.5636,http://farm5.staticflickr.com/4027/4375152825_0fe7b23473.jpg
269,TRUE,Highly negative,0.8031,http://farm7.staticflickr.com/6211/6295863341_e14b189ed2.jpg
270,TRUE,Positive,0.5157,http://farm4.staticflickr.com/3272/2294162833_90e34e6ebf.jpg
271,TRUE,Positive,0.6783,http://farm4.staticflickr.com/3217/2791848574_b14cd8b9f0.jpg
272,TRUE,Negative,0.6388,http://farm5.staticflickr.com/4031/4342635130_f887000a25.jpg
273,TRUE,Negative,0.6389,http://farm2.staticflickr.com/1218/5138817971_23ceffb793.jpg
274,TRUE,Positive,0.7305,http://farm4.staticflickr.com/3139/2859832265_e4e473e688.jpg
275,TRUE,Highly negative,0.5198,http://farm6.staticflickr.com/5258/5459432108_1ed19bec26.jpg
276,TRUE,Negative,0.7225,http://farm6.staticflickr.com/5302/5603047248_8da120f7d5.jpg
277,TRUE,Highly negative,0.601,http://farm4.staticflickr.com/3033/3000485145_99e868e888.jpg
278,TRUE,Positive,0.837,http://farm1.staticflickr.com/136/327080782_a48b1ed67e.jpg
279,TRUE,Positive,0.7198,http://farm4.staticflickr.com/3256/3128996413_d24cdc4734.jpg
